class,response_pattern,n,within_class_prop,overall_prop
1,0-0-1-0-0-1-0-0-1,201,0.21180189673340358,0.0714539637397796
1,0-0-1-0-0-1-0-0-0,115,0.12118018967334036,0.04088162104514753
1,0-1-1-0-0-1-0-0-1,108,0.11380400421496312,0.03839317454674725
1,1-0-1-0-0-1-0-0-1,58,0.06111696522655427,0.020618556701030927
1,0-1-1-0-0-1-0-0-0,54,0.05690200210748156,0.019196587273373623
1,0-0-1-0-0-1-1-0-1,45,0.04741833508956796,0.015997156061144685
1,0-0-0-0-0-1-0-0-1,39,0.0410958904109589,0.013864201919658727
1,0-1-1-0-0-1-1-0-1,38,0.040042149631190724,0.0135087095627444
1,0-1-0-0-0-1-0-0-1,36,0.037934668071654375,0.012797724848915748
1,1-0-1-0-0-1-0-0-0,34,0.03582718651211802,0.012086740135087096
1,1-0-1-0-0-1-1-0-1,29,0.030558482613277135,0.010309278350515464
1,0-1-1-0-1-1-0-0-1,20,0.02107481559536354,0.007109847138286527
1,0-0-1-0-1-1-0-0-1,19,0.020021074815595362,0.0067543547813722
1,0-0-1-0-0-1-1-0-0,18,0.018967334035827187,0.006398862424457874
1,0-0-1-0-0-1-0-1-1,13,0.0136986301369863,0.004621400639886242
1,0-1-1-0-1-1-1-0-1,10,0.01053740779768177,0.0035549235691432635
1,0-0-1-0-1-1-0-0-0,9,0.009483667017913594,0.003199431212228937
1,0-0-1-0-1-1-1-0-1,9,0.009483667017913594,0.003199431212228937
1,0-1-0-0-1-1-0-0-0,9,0.009483667017913594,0.003199431212228937
1,0-1-1-0-0-1-1-0-0,8,0.008429926238145416,0.0028439388553146107
1,0-1-0-0-0-1-1-0-1,7,0.007376185458377239,0.002488446498400284
1,0-1-1-0-1-1-0-0-0,7,0.007376185458377239,0.002488446498400284
1,0-0-0-0-0-1-1-0-0,5,0.005268703898840885,0.0017774617845716318
1,0-0-0-0-1-1-0-0-0,5,0.005268703898840885,0.0017774617845716318
1,0-0-1-0-0-1-1-1-1,5,0.005268703898840885,0.0017774617845716318
1,0-1-0-0-1-1-0-0-1,4,0.004214963119072708,0.0014219694276573053
1,0-0-1-0-1-1-1-0-0,3,0.003161222339304531,0.001066477070742979
1,0-1-1-0-0-1-0-1-1,3,0.003161222339304531,0.001066477070742979
1,0-1-1-0-1-1-1-0-0,3,0.003161222339304531,0.001066477070742979
1,1-0-1-0-0-1-0-1-1,3,0.003161222339304531,0.001066477070742979
1,1-0-1-0-0-1-1-0-0,3,0.003161222339304531,0.001066477070742979
1,0-0-1-0-0-1-0-1-0,2,0.002107481559536354,7.109847138286527e-4
1,0-0-1-0-1-1-0-1-1,2,0.002107481559536354,7.109847138286527e-4
1,0-0-1-1-0-1-0-0-0,2,0.002107481559536354,7.109847138286527e-4
1,0-1-0-0-0-1-0-1-0,2,0.002107481559536354,7.109847138286527e-4
1,0-1-0-0-0-1-0-1-1,2,0.002107481559536354,7.109847138286527e-4
1,0-1-0-0-0-1-1-0-0,2,0.002107481559536354,7.109847138286527e-4
1,0-1-1-0-0-0-0-0-1,2,0.002107481559536354,7.109847138286527e-4
1,0-1-1-0-0-1-0-1-0,2,0.002107481559536354,7.109847138286527e-4
1,0-1-1-0-0-1-1-1-1,2,0.002107481559536354,7.109847138286527e-4
1,0-1-1-0-1-1-0-1-1,2,0.002107481559536354,7.109847138286527e-4
1,0-0-0-0-1-1-0-0-1,1,0.001053740779768177,3.5549235691432633e-4
1,0-0-0-0-1-1-1-0-1,1,0.001053740779768177,3.5549235691432633e-4
1,0-0-1-0-0-1-1-1-0,1,0.001053740779768177,3.5549235691432633e-4
1,0-0-1-0-1-0-0-0-1,1,0.001053740779768177,3.5549235691432633e-4
1,0-0-1-0-1-1-0-1-0,1,0.001053740779768177,3.5549235691432633e-4
1,0-0-1-1-0-1-1-0-0,1,0.001053740779768177,3.5549235691432633e-4
1,0-0-1-1-0-1-1-0-1,1,0.001053740779768177,3.5549235691432633e-4
1,0-1-0-0-1-1-1-0-0,1,0.001053740779768177,3.5549235691432633e-4
1,0-1-1-0-0-0-1-0-1,1,0.001053740779768177,3.5549235691432633e-4
2,1-1-1-0-0-1-0-0-1,111,0.11384615384615385,0.039459651617490224
2,1-1-0-0-0-1-0-0-1,61,0.06256410256410257,0.021685033771773908
2,1-1-1-1-0-1-0-0-1,61,0.06256410256410257,0.021685033771773908
2,1-1-1-0-0-1-0-0-0,59,0.06051282051282051,0.020974049057945254
2,1-1-0-0-0-1-0-0-0,56,0.057435897435897436,0.019907571987202274
2,1-1-1-0-1-1-0-0-1,51,0.052307692307692305,0.018130110202630643
2,1-1-1-0-0-1-1-0-1,39,0.04,0.013864201919658727
2,1-1-1-1-0-1-0-0-0,29,0.029743589743589743,0.010309278350515464
2,1-1-0-1-0-1-0-0-0,27,0.027692307692307693,0.009598293636686812
2,1-0-1-1-0-1-0-0-1,22,0.022564102564102566,0.007820831852115179
2,1-1-0-1-0-1-0-0-1,22,0.022564102564102566,0.007820831852115179
2,1-0-1-0-1-1-0-0-1,19,0.019487179487179488,0.0067543547813722
2,1-0-1-1-1-1-0-0-1,19,0.019487179487179488,0.0067543547813722
2,1-1-0-0-1-1-0-0-1,19,0.019487179487179488,0.0067543547813722
2,1-1-1-0-1-1-0-0-0,19,0.019487179487179488,0.0067543547813722
2,1-1-1-1-1-1-0-0-0,18,0.018461538461538463,0.006398862424457874
2,1-1-1-1-1-1-0-0-1,18,0.018461538461538463,0.006398862424457874
2,1-1-1-1-0-1-1-0-1,17,0.017435897435897435,0.006043370067543548
2,1-0-1-0-1-1-0-0-0,16,0.01641025641025641,0.005687877710629221
2,1-0-0-0-0-1-0-0-1,15,0.015384615384615385,0.005332385353714895
2,1-1-1-0-0-0-0-0-0,15,0.015384615384615385,0.005332385353714895
2,1-1-0-1-1-1-0-0-1,13,0.013333333333333334,0.004621400639886242
2,1-1-0-0-0-1-1-0-1,12,0.012307692307692308,0.004265908282971916
2,1-0-1-1-0-1-0-0-0,11,0.011282051282051283,0.0039104159260575895
2,1-1-0-0-1-1-0-0-0,11,0.011282051282051283,0.0039104159260575895
2,1-1-0-0-1-1-1-0-1,10,0.010256410256410256,0.0035549235691432635
2,1-1-0-1-0-0-0-0-0,10,0.010256410256410256,0.0035549235691432635
2,1-1-1-0-1-1-1-0-0,10,0.010256410256410256,0.0035549235691432635
2,1-0-0-1-0-1-0-0-0,8,0.008205128205128205,0.0028439388553146107
2,1-1-0-1-1-1-1-0-1,8,0.008205128205128205,0.0028439388553146107
2,1-1-1-0-0-1-0-1-1,8,0.008205128205128205,0.0028439388553146107
2,1-1-1-1-1-1-1-0-0,8,0.008205128205128205,0.0028439388553146107
2,1-1-1-0-0-1-0-1-0,6,0.006153846153846154,0.002132954141485958
2,1-1-1-0-0-1-1-0-0,6,0.006153846153846154,0.002132954141485958
2,1-1-1-1-0-0-0-0-0,6,0.006153846153846154,0.002132954141485958
2,1-1-1-1-0-1-1-0-0,6,0.006153846153846154,0.002132954141485958
2,1-0-0-0-1-1-0-0-0,5,0.005128205128205128,0.0017774617845716318
2,1-0-0-1-0-1-0-0-1,5,0.005128205128205128,0.0017774617845716318
2,1-0-1-1-1-1-0-0-0,5,0.005128205128205128,0.0017774617845716318
2,0-1-1-1-0-1-0-0-1,4,0.0041025641025641026,0.0014219694276573053
2,1-0-0-0-0-1-1-0-0,4,0.0041025641025641026,0.0014219694276573053
2,1-1-0-0-0-0-0-0-1,4,0.0041025641025641026,0.0014219694276573053
2,1-1-0-0-0-1-0-1-1,4,0.0041025641025641026,0.0014219694276573053
2,1-1-0-0-0-1-1-0-0,4,0.0041025641025641026,0.0014219694276573053
2,1-1-0-1-0-1-1-0-1,4,0.0041025641025641026,0.0014219694276573053
2,1-1-0-1-1-1-0-0-0,4,0.0041025641025641026,0.0014219694276573053
2,1-0-0-0-1-1-0-0-1,3,0.003076923076923077,0.001066477070742979
2,1-1-0-0-0-0-0-1-1,3,0.003076923076923077,0.001066477070742979
2,1-1-0-0-1-1-0-1-1,3,0.003076923076923077,0.001066477070742979
2,1-1-0-0-1-1-1-0-0,3,0.003076923076923077,0.001066477070742979
2,1-1-0-1-1-0-0-0-1,3,0.003076923076923077,0.001066477070742979
2,0-0-0-1-0-1-0-0-1,2,0.0020512820512820513,7.109847138286527e-4
2,0-0-1-1-1-1-0-0-1,2,0.0020512820512820513,7.109847138286527e-4
2,0-1-1-1-0-1-0-0-0,2,0.0020512820512820513,7.109847138286527e-4
2,1-0-0-1-0-0-0-1-0,2,0.0020512820512820513,7.109847138286527e-4
2,1-0-0-1-1-1-0-0-0,2,0.0020512820512820513,7.109847138286527e-4
2,1-0-0-1-1-1-0-0-1,2,0.0020512820512820513,7.109847138286527e-4
2,1-0-1-1-0-0-0-1-0,2,0.0020512820512820513,7.109847138286527e-4
2,1-0-1-1-0-1-0-1-0,2,0.0020512820512820513,7.109847138286527e-4
2,1-0-1-1-0-1-1-0-1,2,0.0020512820512820513,7.109847138286527e-4
2,1-1-0-0-0-1-0-1-0,2,0.0020512820512820513,7.109847138286527e-4
2,1-1-0-1-0-0-0-0-1,2,0.0020512820512820513,7.109847138286527e-4
2,1-1-0-1-0-1-1-0-0,2,0.0020512820512820513,7.109847138286527e-4
2,1-1-0-1-0-1-1-1-1,2,0.0020512820512820513,7.109847138286527e-4
2,1-1-0-1-1-0-1-0-1,2,0.0020512820512820513,7.109847138286527e-4
2,1-1-1-0-0-0-1-0-1,2,0.0020512820512820513,7.109847138286527e-4
2,1-1-1-1-0-0-0-0-1,2,0.0020512820512820513,7.109847138286527e-4
2,1-1-1-1-0-1-0-1-1,2,0.0020512820512820513,7.109847138286527e-4
2,0-0-0-1-1-1-0-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,0-0-0-1-1-1-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,0-1-0-0-0-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,0-1-0-1-0-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,0-1-0-1-0-0-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,0-1-0-1-0-1-0-1-0,1,0.0010256410256410256,3.5549235691432633e-4
2,0-1-0-1-0-1-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,0-1-0-1-1-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,0-1-1-1-0-1-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-0-0-0-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-0-0-0-1-1-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-0-0-1-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-0-1-1-0-0-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-1-0-1-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-1-1-0-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-1-1-0-1-0-1-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-1-1-0-1-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-1-1-1-0-0-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-1-1-1-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-0-1-1-1-0-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-0-0-0-1-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-0-0-1-1-1-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-0-0-1-1-1-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-0-1-0-0-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-0-1-0-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-0-1-1-0-1-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-1-0-1-0-1-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-1-1-0-0-1-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-0-1-1-1-0-1-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-1-0-0-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-1-0-1-0-0-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-1-1-0-0-0-1-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-1-1-0-0-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-1-1-0-1-0-1-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-1-1-0-1-1-1-0,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-1-1-1-0-0-0-1,1,0.0010256410256410256,3.5549235691432633e-4
2,1-1-1-1-1-0-1-0-0,1,0.0010256410256410256,3.5549235691432633e-4
3,1-0-1-1-1-1-1-1-1,41,0.1943127962085308,0.01457518663348738
3,1-1-1-0-1-1-1-0-1,41,0.1943127962085308,0.01457518663348738
3,1-1-1-1-1-1-1-0-1,23,0.10900473933649289,0.008176324209029506
3,1-0-1-0-1-1-1-0-1,17,0.08056872037914692,0.006043370067543548
3,1-1-1-1-1-1-1-1-1,11,0.052132701421800945,0.0039104159260575895
3,1-0-1-0-1-1-1-0-0,10,0.04739336492890995,0.0035549235691432635
3,1-1-1-0-1-1-1-1-1,9,0.04265402843601896,0.003199431212228937
3,1-0-1-0-1-1-1-1-1,7,0.03317535545023697,0.002488446498400284
3,1-0-0-0-1-1-1-0-1,5,0.023696682464454975,0.0017774617845716318
3,1-0-1-1-1-1-0-1-1,5,0.023696682464454975,0.0017774617845716318
3,1-1-1-0-1-1-0-1-1,5,0.023696682464454975,0.0017774617845716318
3,1-0-1-0-0-1-1-1-1,3,0.014218009478672985,0.001066477070742979
3,1-1-1-1-0-1-1-1-1,3,0.014218009478672985,0.001066477070742979
3,1-0-0-0-1-1-0-1-1,2,0.009478672985781991,7.109847138286527e-4
3,1-0-0-0-1-1-1-1-1,2,0.009478672985781991,7.109847138286527e-4
3,1-0-0-1-1-1-0-1-1,2,0.009478672985781991,7.109847138286527e-4
3,1-0-1-1-0-1-1-1-0,2,0.009478672985781991,7.109847138286527e-4
3,1-0-1-1-1-1-0-1-0,2,0.009478672985781991,7.109847138286527e-4
3,1-0-1-1-1-1-1-0-0,2,0.009478672985781991,7.109847138286527e-4
3,1-0-1-1-1-1-1-0-1,2,0.009478672985781991,7.109847138286527e-4
3,1-1-1-0-0-1-1-1-1,2,0.009478672985781991,7.109847138286527e-4
3,1-1-1-1-1-1-0-1-1,2,0.009478672985781991,7.109847138286527e-4
3,1-1-1-1-1-1-1-1-0,2,0.009478672985781991,7.109847138286527e-4
3,0-0-1-0-1-1-1-1-1,1,0.004739336492890996,3.5549235691432633e-4
3,0-0-1-1-1-1-0-1-1,1,0.004739336492890996,3.5549235691432633e-4
3,0-0-1-1-1-1-1-0-0,1,0.004739336492890996,3.5549235691432633e-4
3,0-1-1-0-1-1-1-1-1,1,0.004739336492890996,3.5549235691432633e-4
3,1-0-0-1-1-1-1-0-1,1,0.004739336492890996,3.5549235691432633e-4
3,1-0-0-1-1-1-1-1-1,1,0.004739336492890996,3.5549235691432633e-4
3,1-0-1-0-1-1-0-1-0,1,0.004739336492890996,3.5549235691432633e-4
3,1-0-1-0-1-1-0-1-1,1,0.004739336492890996,3.5549235691432633e-4
3,1-0-1-0-1-1-1-1-0,1,0.004739336492890996,3.5549235691432633e-4
3,1-1-0-0-1-1-1-1-1,1,0.004739336492890996,3.5549235691432633e-4
3,1-1-0-1-1-1-1-1-1,1,0.004739336492890996,3.5549235691432633e-4
4,0-0-0-0-0-0-0-0-0,237,0.3495575221238938,0.08425168858869535
4,0-0-0-0-0-1-0-0-0,128,0.1887905604719764,0.04550302168503377
4,0-1-0-0-0-0-0-0-0,75,0.11061946902654868,0.026661926768574477
4,0-1-0-0-0-1-0-0-0,72,0.10619469026548672,0.025595449697831497
4,1-1-0-0-0-0-0-0-0,61,0.08997050147492626,0.021685033771773908
4,1-0-0-0-0-0-0-0-0,30,0.04424778761061947,0.01066477070742979
4,1-0-0-0-0-1-0-0-0,22,0.032448377581120944,0.007820831852115179
4,0-0-1-0-0-0-0-0-0,11,0.016224188790560472,0.0039104159260575895
4,0-1-1-0-0-0-0-0-0,10,0.014749262536873156,0.0035549235691432635
4,1-0-0-1-0-0-0-0-0,10,0.014749262536873156,0.0035549235691432635
4,1-0-1-0-0-0-0-0-0,7,0.01032448377581121,0.002488446498400284
4,0-0-0-1-0-0-0-0-0,4,0.0058997050147492625,0.0014219694276573053
4,0-0-0-0-1-0-0-0-0,2,0.0029498525073746312,7.109847138286527e-4
4,0-0-0-1-0-1-0-0-0,2,0.0029498525073746312,7.109847138286527e-4
4,1-0-0-0-1-0-0-0-0,2,0.0029498525073746312,7.109847138286527e-4
4,0-0-0-0-1-0-1-0-0,1,0.0014749262536873156,3.5549235691432633e-4
4,0-0-1-0-0-0-0-1-0,1,0.0014749262536873156,3.5549235691432633e-4
4,0-1-0-0-0-0-0-1-0,1,0.0014749262536873156,3.5549235691432633e-4
4,0-1-1-0-1-0-0-0-0,1,0.0014749262536873156,3.5549235691432633e-4
4,1-0-0-0-0-0-1-0-0,1,0.0014749262536873156,3.5549235691432633e-4
